URL,Status,Type,Category,Element,Response Time (ms),Error,Anchor Text,Schema,Target,Rel,Checked
"https://justmagnificent.com/",200,html,link,a,1953,"","",https,,,Yes
"javascript:void(0)",not-checkable,html,link,a,,"Cannot verify - not HTTP(S) link","",http,,,Yes
"https://justmagnificent.com/home",200,html,link,a,1641,"","",https,,,Yes
"https://justmagnificent.com/destination/detail/agra",200,html,link,a,1555,"","Agra",https,,,Yes
"https://justmagnificent.com/destination/detail/auli",200,html,link,a,1727,"","Auli",https,,,Yes
"https://justmagnificent.com/destination/detail/banaras",200,html,link,a,1591,"","Banaras",https,,,Yes
"https://justmagnificent.com/destination/detail/chakrata",200,html,link,a,1827,"","Chakrata",https,,,Yes
"https://justmagnificent.com/destination/detail/delhi",200,html,link,a,1691,"","Delhi",https,,,Yes
"https://justmagnificent.com/destination/detail/kashmir",200,html,link,a,1573,"","Kashmir",https,,,Yes
"https://justmagnificent.com/destination/detail/kinnaur-spiti-lahaul",200,html,link,a,1612,"","Kinnaur, Spiti & Lahaul",https,,,Yes
"https://justmagnificent.com/destination/detail/ladakh",200,html,link,a,1688,"","Ladakh",https,,,Yes
"https://justmagnificent.com/destination/detail/tirthan",200,html,link,a,1578,"","Tirthan",https,,,Yes
"https://justmagnificent.com/destination/detail/udaipur",200,html,link,a,1492,"","Udaipur",https,,,Yes
"javascript:void(0);",not-checkable,html,link,a,,"Cannot verify - not HTTP(S) link","South Asia",http,,,Yes
"https://justmagnificent.com/asia/india/north-zone/himachal-pradesh/shimla/",200,html,link,a,1464,"","Shimla",https,,,Yes
"https://justmagnificent.com/asia/india/north-zone/himachal-pradesh/dalhousie/",200,html,link,a,1475,"","Dalhousie",https,,,Yes
"https://justmagnificent.com/asia/india/north-zone/himachal-pradesh/mcleodganj/",200,html,link,a,1424,"","McLeod Ganj",https,,,Yes
"https://justmagnificent.com/asia/india/north-zone/himachal-pradesh/manali/",200,html,link,a,1391,"","Manali",https,,,Yes
"https://justmagnificent.com/asia/india/north-zone/himachal-pradesh/tirthan/",200,html,link,a,1410,"","Tirthan",https,,,Yes
"https://justmagnificent.com/asia/india/north-zone/himachal-pradesh/kinnaur-spiti-lahaul/",200,html,link,a,1452,"","Kinnaur, Spiti & Lahaul",https,,,Yes
"https://justmagnificent.com/asia/india/north-zone/punjab/amritsar/",200,html,link,a,1368,"","Amritsar",https,,,Yes
"https://justmagnificent.com/asia/india/north-zone/uttar-pradesh/agra/",200,html,link,a,1566,"","Agra",https,,,Yes
